Cracker Component URL: SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/lib/logback-classic-1.1.2.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/user/mibanez/memoria/autonomic-component-system/examples/target/lib/logback-classic-1.1.2.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/user/mibanez/memoria/programming-multiactivities/dist/lib/slf4j-log4j12-1.5.3.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
15:14:50,509 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback.groovy]
15:14:50,509 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback-test.xml]
15:14:50,509 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Found resource [logback.xml] at [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml]
15:14:50,510 |-WARN in ch.qos.logback.classic.LoggerContext[default] - Resource [logback.xml] occurs multiple times on the classpath.
15:14:50,510 |-WARN in ch.qos.logback.classic.LoggerContext[default] - Resource [logback.xml] occurs at [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml]
15:14:50,510 |-WARN in ch.qos.logback.classic.LoggerContext[default] - Resource [logback.xml] occurs at [jar:file:/user/mibanez/memoria/autonomic-component-system/examples/target/lib/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml]
15:14:50,524 |-INFO in ch.qos.logback.core.joran.spi.ConfigurationWatchList@6df3d1f5 - URL [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml] is not of type file
15:14:50,560 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - debug attribute not set
15:14:50,562 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.ConsoleAppender]
15:14:50,569 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [STDOUT]
15:14:50,583 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
15:14:50,619 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.multiactivity.compatibility.ACSAnnotationProcessor] to ERROR
15:14:50,619 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.factory.BuildHelper] to ERROR
15:14:50,619 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.controllers.monitoring.events.GCMPAEventListenerImpl] to ERROR
15:14:50,619 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.controllers.monitoring.MonitoringController] to TRACE
15:14:50,619 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.factory.ACSFactory] to TRACE
15:14:50,620 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.ACSManager] to TRACE
15:14:50,620 |-INFO in ch.qos.logback.classic.joran.action.RootLoggerAction - Setting level of ROOT logger to INFO
15:14:50,620 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [STDOUT] to Logger[ROOT]
15:14:50,620 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - End of configuration.
15:14:50,621 |-INFO in ch.qos.logback.classic.joran.JoranConfigurator@225d6438 - Registering current configuration as safe fallback point

SLF4J: Actual binding is of type [ch.qos.logback.classic.util.ContextSelectorStaticBinder]
[INFO][main][org.mortbay.log] Logging to Logger[org.mortbay.log] via org.mortbay.log.Slf4jLog
[INFO][main][org.mortbay.log] jetty-6.1.26
[INFO][main][org.mortbay.log] Started SelectChannelConnector@0.0.0.0:50546
49586@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pamr, class org.objectweb.proactive.extensions.pamr.remoteobject.PAMRRemoteObjectFactory> found
49586@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pnp, class org.objectweb.proactive.extensions.pnp.PNPRemoteObjectFactory> found
49586@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pnps, class org.objectweb.proactive.extensions.pnpssl.PNPSslRemoteObjectFactory> found
49586@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pamrd, class org.objectweb.proactive.extensions.pamrd.PAMRDRemoteObjectFactorySPI$PAMRDRemoteObjectFactory> found
49586@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <amqp, class org.objectweb.proactive.extensions.amqp.remoteobject.AMQPRemoteObjectFactory> found
49586@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <amqp-federation, class org.objectweb.proactive.extensions.amqp.federation.AMQPFederationRemoteObjectFactory> found
49586@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <rmissl, class org.objectweb.proactive.extra.rmissl.RmiSslRemoteObjectFactory> found
49586@tripio - [INFO    communication.rmi] Detected an existing RMI Registry on port 1099
Passwords length [4]: Number of Test [1000000]: Delay in millis [100]: request,time,resp_time,avg_resp_time
250,694292,1368,1265
251,695768,1376,1290
252,697320,1452,1335
253,698807,1387,1362
254,700184,1276,1371
255,701535,1251,1348
256,702888,1253,1323
257,704241,1252,1283
258,705595,1254,1257
259,706975,1279,1257
260,708350,1275,1262
261,709804,1353,1282
262,711207,1302,1292
263,712564,1257,1293
264,713914,1250,1287
265,715376,1361,1304
266,716744,1268,1287
267,718119,1275,1282
268,719478,1259,1282
269,720837,1259,1284
270,722209,1272,1266
271,723579,1270,1267
272,724932,1253,1262
273,726427,1394,1289
274,727801,1274,1292
275,729287,1386,1315
276,730640,1253,1312
277,732074,1333,1328
278,733568,1394,1328
279,734951,1283,1329
280,736442,1391,1330
281,738002,1460,1372
282,739463,1361,1377
283,740732,1169,1332
284,741931,1099,1296
285,743152,1121,1242
286,744274,1022,1154
287,745478,1103,1102
288,746743,1165,1102
289,747694,851,1052
290,748681,887,1005
291,749633,852,971
292,750587,854,921
293,751600,913,871
294,752536,836,868
295,753509,873,865
296,754449,840,863
297,755384,835,859
298,756329,844,845
299,757403,974,873
300,758380,877,874
301,759310,830,872
302,760257,847,874
303,761174,817,869
304,762090,816,837
305,763005,815,825
306,763987,882,835
307,764937,850,836
308,765895,858,844
309,766831,836,848
310,767836,905,866
311,768800,864,862
312,769755,855,863
313,770717,862,864
314,771654,836,864
315,772566,812,845
316,773475,809,834
317,774398,823,828
318,775323,825,821
319,776227,804,814
320,777136,809,814
321,778050,814,815
322,778976,826,815
323,779991,915,833
324,780885,794,831
325,781794,809,831
326,782700,806,830
327,783602,802,825
328,784511,809,804
329,785410,799,805
330,786314,803,803
331,787213,799,802
332,788148,835,809
333,789241,993,845
334,790204,863,858
335,791267,963,890
336,792256,889,908
337,793247,890,919
338,794153,806,882
339,795078,825,874
340,795996,817,845
341,796909,813,830
342,797830,820,816
343,798738,808,816
344,799663,825,816
345,800565,802,813
346,801464,799,810
347,802523,959,838
348,803453,830,843
349,804350,797,837
350,805398,948,866
351,806300,802,867
352,807216,815,838
353,808145,829,838
354,809056,811,841
355,809967,811,813
356,810874,807,814
357,811790,815,814
358,812709,819,812
359,813624,815,813
360,814641,917,834
361,815697,956,864
362,816731,934,888
363,817671,840,892
364,818744,973,924
365,819714,869,914
366,820610,796,882
367,821548,837,863
368,822468,820,859
369,823399,831,830
370,824320,821,821
371,825233,813,824
372,826152,818,820
373,827139,887,834
374,828110,871,842
375,829204,994,876
376,830107,802,874
377,831042,835,877
378,832080,938,888
379,833049,869,887
380,833976,827,854
381,834973,896,873
382,835929,856,877
383,836874,845,858
384,837858,883,861
385,838811,852,866
386,839835,924,872
387,840752,817,864
388,841677,825,860
389,842616,839,851
390,843536,819,844
391,844440,803,820
392,845341,801,817
393,846260,819,816
394,847168,808,810
395,848080,811,808
396,849161,981,844
397,850238,977,879
398,851141,802,875
399,852028,787,871
400,852929,801,869
401,853825,795,832
402,854740,815,800
403,855670,830,805
404,856590,820,812
405,857489,799,811
406,858411,822,817
407,859476,965,847
408,860395,819,845
409,861434,939,868
410,862333,799,868
411,863252,819,868
412,864190,838,842
413,865190,900,859
414,866185,894,850
415,867183,897,869
416,868095,812,868
417,869116,920,884
418,870040,824,869
419,871128,987,888
420,872052,824,873
421,872982,829,876
422,873901,818,856
423,874847,846,860
424,875789,841,831
425,876731,842,835
426,877749,917,852
427,878747,897,868
428,879789,942,887
429,880725,836,886
430,881646,821,882
431,882547,800,859
432,883464,817,843
433,884384,819,818
434,885291,807,812
435,886195,804,809
436,887109,814,812
437,888025,815,811
438,888945,820,812
439,889954,908,832
440,890856,802,831
441,891778,822,833
442,892771,892,848
443,893797,926,870
444,894728,831,854
445,895798,970,888
446,896716,817,887
447,897653,837,876
448,898670,917,874
449,899583,812,870
450,900560,877,852
451,901488,828,854
452,902411,823,851
453,903346,835,835
454,904275,828,838
455,905223,847,832
456,906143,820,830
457,907046,803,826
458,907946,800,819
459,908933,886,831
460,909992,959,853
461,910939,847,859
462,911832,793,857
463,912720,787,854
464,913620,800,837
465,914544,824,810
466,915461,817,804
467,916368,807,807
468,917279,811,811
469,918204,825,816
470,919285,981,848
471,920260,875,859
472,921236,876,873
473,922137,801,871
474,923063,826,871
475,923989,826,840
476,924908,819,829
477,925839,831,820
478,926770,830,826
479,927697,827,826
480,928605,808,823
481,929739,1033,865
482,930636,797,859
483,931536,800,853
484,932427,791,845
485,933327,800,844
486,934218,790,795
487,935113,795,795
488,936014,801,795
489,936926,812,799
490,937901,875,814
491,938943,941,844
492,940045,1001,886
493,940979,834,892
494,942063,984,927
495,942980,817,915
496,943892,812,889
497,944801,808,851
498,945717,815,847
499,946649,831,816
500,947572,823,817
501,948510,837,822
502,949434,824,826
503,950388,854,833
504,951339,851,837
505,952463,1024,878
506,953431,868,884
507,954440,908,901
508,955440,900,910
509,956478,938,927
510,957443,865,895
511,958368,825,887
512,959303,835,872
513,960236,833,859
514,961171,834,838
515,962099,828,831
49586@tripio - [WARN oactive.remoteobject] main : unable to contact remote object rmi://tripio:1099/ActiveObject_org.objectweb.proactive.core.component.type.Composite_32d8144c-14a115a6fed--7fa7--12fa963a5457a7ba-32d8144c-14a115a6fed--8000 when calling method receiveFTMessage
java.rmi.ConnectException: Connection refused to host: 192.168.1.101; nested exception is: 
	java.net.ConnectException: Connection refused
	at sun.rmi.transport.tcp.TCPEndpoint.newSocket(TCPEndpoint.java:619)
	at sun.rmi.transport.tcp.TCPChannel.createConnection(TCPChannel.java:216)
	at sun.rmi.transport.tcp.TCPChannel.newConnection(TCPChannel.java:202)
	at sun.rmi.server.UnicastRef.invoke(UnicastRef.java:129)
	at org.objectweb.proactive.core.remoteobject.rmi.RmiRemoteObjectImpl_Stub.receiveMessage(Unknown Source)
	at org.objectweb.proactive.core.remoteobject.RemoteObjectSet.receiveMessage(RemoteObjectSet.java:164)
	at org.objectweb.proactive.core.remoteobject.RemoteObjectAdapter.receiveMessage(RemoteObjectAdapter.java:198)
	at org.objectweb.proactive.core.remoteobject.SynchronousProxy.reify(SynchronousProxy.java:78)
	at pa.stub.org.objectweb.proactive.core.body._StubUniversalBody.receiveFTMessage(_StubUniversalBody.java)
	at org.objectweb.proactive.core.body.UniversalBodyRemoteObjectAdapter.receiveFTMessage(UniversalBodyRemoteObjectAdapter.java:157)
	at org.objectweb.proactive.core.body.future.FutureMonitoring.pingBody(FutureMonitoring.java:141)
	at org.objectweb.proactive.core.body.future.FutureMonitoring.run(FutureMonitoring.java:176)
	at java.lang.Thread.run(Thread.java:745)
Caused by: java.net.ConnectException: Connection refused
	at java.net.PlainSocketImpl.socketConnect(Native Method)
	at java.net.AbstractPlainSocketImpl.doConnect(AbstractPlainSocketImpl.java:339)
	at java.net.AbstractPlainSocketImpl.connectToAddress(AbstractPlainSocketImpl.java:200)
	at java.net.AbstractPlainSocketImpl.connect(AbstractPlainSocketImpl.java:182)
	at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:392)
	at java.net.Socket.connect(Socket.java:579)
	at java.net.Socket.connect(Socket.java:528)
	at java.net.Socket.<init>(Socket.java:425)
	at java.net.Socket.<init>(Socket.java:208)
	at sun.rmi.transport.proxy.RMIDirectSocketFactory.createSocket(RMIDirectSocketFactory.java:40)
	at sun.rmi.transport.proxy.RMIMasterSocketFactory.createSocket(RMIMasterSocketFactory.java:147)
	at sun.rmi.transport.tcp.TCPEndpoint.newSocket(TCPEndpoint.java:613)
	... 12 more
Exception in thread "Monitoring the Futures" org.objectweb.proactive.core.body.exceptions.FutureMonitoringPingFailureException: Failure to ping creator body ActiveObject_org.objectweb.proactive.core.component.type.Composite_32d8144c-14a115a6fed--7fa7--12fa963a5457a7ba-32d8144c-14a115a6fed--8000 on rmi://tripio:1099/Node2031938564
	at org.objectweb.proactive.core.body.future.FutureMonitoring.pingBody(FutureMonitoring.java:151)
	at org.objectweb.proactive.core.body.future.FutureMonitoring.run(FutureMonitoring.java:176)
	at java.lang.Thread.run(Thread.java:745)
Caused by: java.rmi.ConnectException: Connection refused to host: 192.168.1.101; nested exception is: 
	java.net.ConnectException: Connection refused
	at sun.rmi.transport.tcp.TCPEndpoint.newSocket(TCPEndpoint.java:619)
	at sun.rmi.transport.tcp.TCPChannel.createConnection(TCPChannel.java:216)
	at sun.rmi.transport.tcp.TCPChannel.newConnection(TCPChannel.java:202)
	at sun.rmi.server.UnicastRef.invoke(UnicastRef.java:129)
	at org.objectweb.proactive.core.remoteobject.rmi.RmiRemoteObjectImpl_Stub.receiveMessage(Unknown Source)
	at org.objectweb.proactive.core.remoteobject.RemoteObjectSet.receiveMessage(RemoteObjectSet.java:164)
	at org.objectweb.proactive.core.remoteobject.RemoteObjectAdapter.receiveMessage(RemoteObjectAdapter.java:198)
	at org.objectweb.proactive.core.remoteobject.SynchronousProxy.reify(SynchronousProxy.java:78)
	at pa.stub.org.objectweb.proactive.core.body._StubUniversalBody.receiveFTMessage(_StubUniversalBody.java)
	at org.objectweb.proactive.core.body.UniversalBodyRemoteObjectAdapter.receiveFTMessage(UniversalBodyRemoteObjectAdapter.java:157)
	at org.objectweb.proactive.core.body.future.FutureMonitoring.pingBody(FutureMonitoring.java:141)
	... 2 more
Caused by: java.net.ConnectException: Connection refused
	at java.net.PlainSocketImpl.socketConnect(Native Method)
	at java.net.AbstractPlainSocketImpl.doConnect(AbstractPlainSocketImpl.java:339)
	at java.net.AbstractPlainSocketImpl.connectToAddress(AbstractPlainSocketImpl.java:200)
	at java.net.AbstractPlainSocketImpl.connect(AbstractPlainSocketImpl.java:182)
	at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:392)
	at java.net.Socket.connect(Socket.java:579)
	at java.net.Socket.connect(Socket.java:528)
	at java.net.Socket.<init>(Socket.java:425)
	at java.net.Socket.<init>(Socket.java:208)
	at sun.rmi.transport.proxy.RMIDirectSocketFactory.createSocket(RMIDirectSocketFactory.java:40)
	at sun.rmi.transport.proxy.RMIMasterSocketFactory.createSocket(RMIMasterSocketFactory.java:147)
	at sun.rmi.transport.tcp.TCPEndpoint.newSocket(TCPEndpoint.java:613)
	... 12 more
