Cracker Component URL: SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/lib/logback-classic-1.1.2.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/user/mibanez/memoria/autonomic-component-system/examples/target/lib/logback-classic-1.1.2.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/user/mibanez/memoria/programming-multiactivities/dist/lib/slf4j-log4j12-1.5.3.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
16:41:23,259 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback.groovy]
16:41:23,259 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback-test.xml]
16:41:23,259 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Found resource [logback.xml] at [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml]
16:41:23,260 |-WARN in ch.qos.logback.classic.LoggerContext[default] - Resource [logback.xml] occurs multiple times on the classpath.
16:41:23,260 |-WARN in ch.qos.logback.classic.LoggerContext[default] - Resource [logback.xml] occurs at [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml]
16:41:23,260 |-WARN in ch.qos.logback.classic.LoggerContext[default] - Resource [logback.xml] occurs at [jar:file:/user/mibanez/memoria/autonomic-component-system/examples/target/lib/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml]
16:41:23,274 |-INFO in ch.qos.logback.core.joran.spi.ConfigurationWatchList@6df3d1f5 - URL [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml] is not of type file
16:41:23,311 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - debug attribute not set
16:41:23,312 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.ConsoleAppender]
16:41:23,320 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [STDOUT]
16:41:23,334 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
16:41:23,369 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.multiactivity.compatibility.ACSAnnotationProcessor] to ERROR
16:41:23,369 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.factory.BuildHelper] to ERROR
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.controllers.monitoring.events.GCMPAEventListenerImpl] to ERROR
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.controllers.monitoring.MonitoringController] to TRACE
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.factory.ACSFactory] to TRACE
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.ACSManager] to TRACE
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.RootLoggerAction - Setting level of ROOT logger to INFO
16:41:23,370 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [STDOUT] to Logger[ROOT]
16:41:23,371 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - End of configuration.
16:41:23,372 |-INFO in ch.qos.logback.classic.joran.JoranConfigurator@225d6438 - Registering current configuration as safe fallback point

SLF4J: Actual binding is of type [ch.qos.logback.classic.util.ContextSelectorStaticBinder]
[INFO][main][org.mortbay.log] Logging to Logger[org.mortbay.log] via org.mortbay.log.Slf4jLog
[INFO][main][org.mortbay.log] jetty-6.1.26
[INFO][main][org.mortbay.log] Started SelectChannelConnector@0.0.0.0:34052
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pamr, class org.objectweb.proactive.extensions.pamr.remoteobject.PAMRRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pnp, class org.objectweb.proactive.extensions.pnp.PNPRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pnps, class org.objectweb.proactive.extensions.pnpssl.PNPSslRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pamrd, class org.objectweb.proactive.extensions.pamrd.PAMRDRemoteObjectFactorySPI$PAMRDRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <amqp, class org.objectweb.proactive.extensions.amqp.remoteobject.AMQPRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <amqp-federation, class org.objectweb.proactive.extensions.amqp.federation.AMQPFederationRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <rmissl, class org.objectweb.proactive.extra.rmissl.RmiSslRemoteObjectFactory> found
42336@tripio - [INFO    communication.rmi] Detected an existing RMI Registry on port 1099
Passwords length [4]: Number of Test [1000000]: Delay in millis [100]: request,time,resp_time,avg_resp_time
600,1155368,3622,3631
601,1159075,3607,3628
602,1162776,3600,3623
603,1166483,3607,3611
604,1170186,3603,3607
605,1173880,3593,3602
606,1177637,3657,3612
607,1181368,3631,3618
608,1185093,3625,3621
609,1188808,3615,3624
610,1192501,3593,3624
611,1196212,3611,3615
612,1199920,3608,3610
613,1203636,3616,3608
614,1207350,3613,3608
615,1211104,3654,3620
616,1214888,3684,3635
617,1218633,3645,3642
618,1222342,3608,3640
619,1226054,3611,3640
620,1229770,3615,3632
621,1233488,3618,3619
622,1237200,3612,3612
623,1240908,3608,3612
624,1244626,3617,3614
625,1248338,3612,3613
626,1252068,3630,3615
627,1255764,3596,3612
628,1259510,3646,3620
629,1263213,3602,3617
630,1266949,3636,3622
631,1270642,3592,3614
632,1274366,3624,3620
633,1278113,3647,3620
634,1281817,3604,3620
635,1285530,3613,3616
636,1289264,3634,3624
637,1292974,3610,3621
638,1296655,3581,3608
639,1300325,3570,3601
640,1304035,3610,3601
641,1307750,3615,3597
642,1311469,3619,3599
643,1315160,3590,3600
644,1318864,3604,3607
645,1322614,3650,3615
646,1326324,3610,3614
647,1330069,3645,3619
648,1333755,3586,3619
649,1337451,3596,3617
650,1341147,3596,3606
651,1344894,3647,3614
652,1348587,3593,3603
653,1352293,3606,3607
654,1356032,3639,3616
655,1359830,3698,3636
656,1363526,3596,3626
657,1367226,3599,3627
658,1370921,3595,3625
659,1374613,3592,3616
660,1378302,3589,3594
661,1382121,3718,3618
662,1385846,3625,3623
663,1389579,3633,3631
664,1393274,3594,3631
665,1396990,3616,3637
666,1400689,3599,3613
667,1404473,3684,3625
668,1408173,3600,3618
669,1411873,3600,3619
670,1415587,3613,3619
671,1419291,3604,3620
672,1422989,3598,3603
673,1426714,3625,3608
674,1430402,3587,3605
675,1434094,3591,3601
676,1437800,3606,3601
677,1441588,3688,3619
678,1445303,3614,3617
679,1449007,3604,3620
680,1452734,3627,3627
681,1456429,3594,3625
682,1460147,3618,3611
683,1463851,3604,3609
684,1467560,3609,3610
685,1471293,3633,3611
686,1474988,3595,3611
687,1478695,3607,3609
688,1482473,3677,3624
689,1486183,3609,3624
690,1489900,3616,3620
691,1493621,3621,3626
692,1497312,3591,3622
693,1501012,3599,3607
694,1504718,3606,3606
695,1508411,3592,3601
696,1512098,3586,3594
697,1515856,3658,3608
698,1519553,3597,3607
699,1523374,3720,3630
700,1527073,3599,3632
701,1530792,3619,3638
702,1534505,3613,3629
703,1538222,3617,3633
704,1541920,3598,3609
705,1545633,3613,3612
706,1549440,3707,3629
707,1553207,3667,3640
708,1556910,3602,3637
709,1560601,3591,3636
710,1564320,3619,3637
711,1568037,3617,3619
712,1571763,3626,3611
713,1575500,3636,3617
714,1579281,3681,3635
715,1582968,3587,3629
716,1586715,3647,3635
717,1590431,3615,3633
718,1594146,3615,3629
719,1597861,3615,3615
720,1601578,3617,3621
721,1605279,3601,3612
722,1608994,3615,3612
723,1612720,3625,3614
724,1616428,3608,3613
725,1620138,3610,3611
726,1623841,3603,3612
727,1627549,3608,3610
728,1631265,3616,3609
729,1634959,3594,3606
730,1638685,3625,3609
731,1642395,3609,3610
732,1646111,3616,3612
733,1649838,3627,3614
734,1653643,3705,3636
735,1657350,3607,3632
736,1661107,3657,3642
737,1664835,3628,3644
738,1668582,3646,3648
739,1672284,3602,3628
740,1675976,3592,3625
741,1679675,3599,3613
742,1683382,3607,3609
743,1687082,3599,3599
744,1690777,3595,3598
745,1694485,3607,3601
746,1698189,3604,3602
747,1701894,3605,3602
748,1705692,3698,3621
749,1709393,3601,3623
750,1713134,3640,3629
751,1716840,3606,3630
752,1720566,3626,3634
753,1724338,3671,3628
754,1728071,3632,3635
755,1731777,3605,3628
756,1735472,3595,3625
757,1739194,3622,3625
758,1742896,3602,3611
759,1746650,3654,3615
760,1750361,3610,3616
761,1754092,3630,3623
762,1757796,3604,3620
763,1761506,3610,3621
764,1765240,3633,3617
765,1768951,3611,3617
766,1772685,3634,3618
767,1776392,3607,3619
768,1780095,3603,3617
769,1783806,3611,3613
770,1787509,3603,3611
771,1791226,3617,3608
772,1795002,3676,3622
773,1798762,3660,3633
774,1802462,3600,3631
775,1806169,3606,3631
776,1809878,3609,3630
777,1813570,3591,3613
778,1817292,3622,3605
779,1821004,3611,3607
780,1824698,3594,3605
781,1828406,3607,3605
782,1832184,3677,3622
783,1835877,3593,3616
784,1839631,3654,3625
785,1843328,3597,3625
786,1847036,3608,3625
787,1850748,3612,3612
788,1854471,3623,3618
789,1858163,3592,3606
790,1861893,3630,3613
791,1865603,3610,3613
792,1869294,3591,3609
793,1873003,3609,3606
794,1876705,3602,3608
795,1880402,3597,3601
796,1884107,3605,3600
797,1887818,3611,3604
798,1891529,3610,3605
799,1895238,3609,3606
800,1899042,3704,3627
801,1902729,3587,3624
802,1906475,3646,3631
803,1910192,3616,3632
804,1913896,3604,3631
805,1917603,3607,3612
806,1921345,3642,3623
807,1925051,3605,3614
808,1928760,3608,3613
809,1932461,3600,3612
810,1936154,3592,3609
811,1939860,3605,3602
812,1943578,3618,3604
813,1947355,3676,3618
814,1951063,3607,3619
815,1954788,3625,3626
816,1958515,3627,3630
817,1962227,3612,3629
818,1965969,3642,3622
819,1969690,3621,3625
820,1973363,3573,3615
821,1977076,3613,3612
822,1980779,3603,3610
823,1984478,3599,3601
824,1988197,3619,3601
825,1991886,3589,3604
826,1995582,3596,3601
827,1999287,3605,3601
828,2003078,3691,3620
829,2006807,3629,3622
830,2010552,3645,3633
831,2014240,3588,3631
832,2017963,3622,3635
833,2021691,3628,3622
834,2025457,3666,3629
835,2029209,3652,3631
836,2032917,3608,3635
837,2036621,3603,3631
838,2040314,3593,3624
839,2044028,3614,3614
840,2047739,3611,3605
841,2051431,3592,3602
842,2055129,3598,3601
843,2058841,3612,3605
844,2062601,3660,3614
845,2066304,3603,3613
846,2070024,3620,3618
847,2073739,3615,3622
848,2077451,3612,3622
849,2081182,3631,3616
850,2084885,3602,3616
851,2088591,3606,3613
852,2092296,3605,3611
853,2095998,3602,3609
854,2099695,3596,3602
855,2103416,3621,3606
856,2107179,3663,3617
857,2110893,3613,3619
858,2114616,3623,3623
859,2118421,3704,3644
860,2122121,3600,3640
861,2125918,3697,3647
862,2129619,3601,3645
863,2133344,3625,3645
864,2137071,3627,3630
865,2140906,3734,3656
866,2144620,3613,3640
867,2148341,3621,3644
868,2152075,3634,3645
869,2155776,3600,3640
870,2159474,3597,3613
871,2163165,3591,3608
872,2166892,3627,3609
