Cracker Component URL: SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/lib/logback-classic-1.1.2.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/user/mibanez/memoria/autonomic-component-system/examples/target/lib/logback-classic-1.1.2.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/user/mibanez/memoria/programming-multiactivities/dist/lib/slf4j-log4j12-1.5.3.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
16:41:23,259 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback.groovy]
16:41:23,259 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback-test.xml]
16:41:23,259 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Found resource [logback.xml] at [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml]
16:41:23,260 |-WARN in ch.qos.logback.classic.LoggerContext[default] - Resource [logback.xml] occurs multiple times on the classpath.
16:41:23,260 |-WARN in ch.qos.logback.classic.LoggerContext[default] - Resource [logback.xml] occurs at [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml]
16:41:23,260 |-WARN in ch.qos.logback.classic.LoggerContext[default] - Resource [logback.xml] occurs at [jar:file:/user/mibanez/memoria/autonomic-component-system/examples/target/lib/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml]
16:41:23,274 |-INFO in ch.qos.logback.core.joran.spi.ConfigurationWatchList@6df3d1f5 - URL [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml] is not of type file
16:41:23,311 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - debug attribute not set
16:41:23,312 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.ConsoleAppender]
16:41:23,320 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [STDOUT]
16:41:23,334 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
16:41:23,369 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.multiactivity.compatibility.ACSAnnotationProcessor] to ERROR
16:41:23,369 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.factory.BuildHelper] to ERROR
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.controllers.monitoring.events.GCMPAEventListenerImpl] to ERROR
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.controllers.monitoring.MonitoringController] to TRACE
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.factory.ACSFactory] to TRACE
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.ACSManager] to TRACE
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.RootLoggerAction - Setting level of ROOT logger to INFO
16:41:23,370 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [STDOUT] to Logger[ROOT]
16:41:23,371 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - End of configuration.
16:41:23,372 |-INFO in ch.qos.logback.classic.joran.JoranConfigurator@225d6438 - Registering current configuration as safe fallback point

SLF4J: Actual binding is of type [ch.qos.logback.classic.util.ContextSelectorStaticBinder]
[INFO][main][org.mortbay.log] Logging to Logger[org.mortbay.log] via org.mortbay.log.Slf4jLog
[INFO][main][org.mortbay.log] jetty-6.1.26
[INFO][main][org.mortbay.log] Started SelectChannelConnector@0.0.0.0:34052
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pamr, class org.objectweb.proactive.extensions.pamr.remoteobject.PAMRRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pnp, class org.objectweb.proactive.extensions.pnp.PNPRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pnps, class org.objectweb.proactive.extensions.pnpssl.PNPSslRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pamrd, class org.objectweb.proactive.extensions.pamrd.PAMRDRemoteObjectFactorySPI$PAMRDRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <amqp, class org.objectweb.proactive.extensions.amqp.remoteobject.AMQPRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <amqp-federation, class org.objectweb.proactive.extensions.amqp.federation.AMQPFederationRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <rmissl, class org.objectweb.proactive.extra.rmissl.RmiSslRemoteObjectFactory> found
42336@tripio - [INFO    communication.rmi] Detected an existing RMI Registry on port 1099
Passwords length [4]: Number of Test [1000000]: Delay in millis [100]: request,time,resp_time,avg_resp_time
256,499429,843,840
257,500360,831,837
258,501293,833,836
259,502232,839,837
260,503167,834,836
261,504104,837,834
262,505045,841,836
263,506153,1007,871
264,507184,931,890
265,508124,840,891
266,509059,835,890
267,509998,839,890
268,510952,853,859
269,511915,863,846
270,512863,847,847
271,513803,839,848
272,514790,887,857
273,515826,936,874
274,516915,989,899
275,518034,1019,934
276,518965,831,932
277,519933,868,928
278,520895,862,913
279,521862,867,889
280,522829,867,859
281,523797,867,866
282,524769,872,867
283,525732,862,867
284,526691,859,865
285,527628,837,859
286,528563,835,853
287,529506,843,847
288,530439,833,841
289,531392,853,840
290,532338,846,842
291,533300,862,847
292,534260,860,850
293,535200,840,852
294,536137,837,849
295,537070,833,846
296,538008,837,841
297,538940,831,835
298,539882,842,836
299,540829,847,838
300,541795,866,844
301,542747,851,847
302,543677,830,847
303,544614,837,846
304,545551,837,844
305,546492,841,839
306,547442,850,839
307,548382,840,841
308,549429,947,863
309,550415,886,872
310,551363,848,874
311,552316,852,874
312,553259,842,875
313,554202,843,854
314,555154,852,847
315,556095,840,845
316,557063,868,849
317,558009,846,849
318,558941,831,847
319,559879,837,844
320,560812,833,843
321,561753,841,837
322,562699,846,837
323,563638,839,839
324,564573,835,838
325,565535,861,844
326,566480,844,845
327,567414,834,842
328,568355,841,843
329,569299,844,844
330,570241,842,841
331,571182,841,840
332,572126,844,842
333,573272,1045,883
334,574210,838,882
335,575160,849,883
336,576116,856,886
337,577125,909,899
338,578069,844,859
339,579008,838,859
340,579956,848,859
341,580897,841,856
342,581974,976,869
343,583010,936,887
344,583947,836,887
345,585122,1074,932
346,586441,1219,1008
347,587558,1016,1016
348,588692,1034,1035
349,589768,975,1063
350,590841,973,1043
351,591947,1006,1000
352,593035,987,995
353,594107,972,982
354,595167,960,979
355,596234,966,978
356,597312,978,972
357,598379,967,968
358,599464,985,971
359,600539,975,974
360,601623,984,977
361,602680,957,973
362,603739,959,972
363,604818,978,970
364,605894,975,970
365,606976,982,970
366,608071,995,977
367,609157,985,983
368,610265,1008,989
369,611334,969,987
370,612407,973,986
371,613471,964,979
372,614539,968,976
373,615711,1072,989
374,616858,1047,1004
375,618418,1460,1102
376,619804,1286,1166
377,621205,1301,1233
378,622597,1292,1277
379,623696,999,1267
380,624794,998,1175
381,625890,996,1117
382,626983,993,1055
383,628086,1003,997
384,629152,966,991
385,630234,982,988
386,631301,966,982
387,632369,968,977
388,633708,1238,1024
389,634771,963,1023
390,635844,972,1021
391,636939,995,1027
392,638013,974,1028
393,639099,986,978
394,640190,991,983
395,641283,992,987
396,642460,1077,1004
397,643632,1072,1023
398,644701,969,1020
399,645788,987,1019
400,646846,958,1012
401,647910,964,990
402,648972,962,968
403,650423,1351,1044
404,651774,1251,1097
405,653176,1302,1166
406,654553,1276,1228
407,655938,1284,1292
408,657292,1254,1273
409,658575,1183,1259
410,659852,1177,1234
411,661239,1287,1237
412,662404,1065,1193
413,663575,1071,1156
414,664775,1099,1139
415,665979,1104,1125
416,667219,1139,1095
417,668413,1094,1101
418,669587,1074,1102
419,670768,1081,1098
420,671940,1071,1091
421,673115,1075,1079
422,674308,1092,1078
423,675500,1092,1082
424,676822,1221,1110
425,678135,1213,1138
426,679314,1078,1139
427,680492,1078,1136
428,682094,1502,1218
429,683576,1382,1250
430,685052,1376,1283
431,686527,1374,1342
432,688005,1378,1402
433,689491,1386,1379
434,690983,1392,1381
435,692480,1397,1385
436,693948,1368,1384
437,695423,1375,1383
438,697083,1559,1418
439,698550,1367,1413
440,699916,1266,1387
441,701268,1252,1363
442,702622,1253,1339
443,703985,1263,1280
444,705351,1266,1260
445,707003,1552,1317
446,708574,1471,1361
447,710067,1393,1389
448,711547,1380,1412
449,712912,1265,1412
450,714877,1865,1474
451,716660,1683,1517
452,718478,1718,1582
453,720257,1679,1642
454,722009,1652,1719
455,723808,1699,1686
456,725604,1696,1688
457,727035,1331,1611
458,728504,1368,1549
459,730124,1520,1522
460,731559,1334,1449
461,732994,1335,1377
462,734402,1307,1372
463,735815,1313,1361
464,737216,1301,1318
465,738779,1463,1343
466,740466,1587,1394
467,741966,1400,1412
468,743394,1327,1415
469,744834,1339,1423
470,746944,2010,1532
471,748973,1929,1601
472,751009,1935,1708
473,753036,1927,1828
474,755037,1901,1940
475,756765,1628,1864
476,758603,1737,1825
477,760460,1757,1790
478,762168,1607,1726
479,763867,1598,1665
480,765569,1602,1660
481,767180,1511,1615
482,768880,1600,1583
483,770542,1562,1574
484,772207,1564,1567
485,773881,1573,1562
486,775477,1496,1559
487,777077,1500,1539
488,779252,2075,1641
489,781210,1858,1700
490,783184,1874,1760
491,785279,1995,1860
492,787100,1721,1904
493,788951,1751,1839
494,790862,1811,1830
495,792709,1747,1805
496,794521,1712,1748
497,796348,1727,1749
498,798147,1699,1739
499,799953,1705,1718
500,802144,2091,1786
501,803989,1745,1793
502,805800,1711,1790
503,807608,1708,1792
504,809428,1720,1795
505,812596,3068,1990
506,815721,3024,2246
507,818830,3008,2505
508,821935,3005,2765
509,825052,3017,3024
510,828171,3019,3014
511,830460,2189,2847
512,832773,2213,2688
513,835069,2196,2526
514,837368,2199,2363
515,839678,2210,2201
516,841847,2069,2177
517,844804,2857,2306
518,847659,2755,2418
519,851022,3263,2630
520,853907,2785,2745
521,856895,2888,2909
522,860012,3017,2941
523,862767,2655,2921
524,865475,2608,2790
525,868832,3257,2885
526,871924,2991,2905
527,874439,2415,2785
528,879258,4719,3198
529,884364,5006,3677
530,889231,4767,3979
531,894137,4806,4342
532,898996,4758,4811
533,903845,4749,4817
534,908693,4748,4765
535,911735,2941,4400
536,914743,2908,4020
537,917743,2899,3649
538,921054,3211,3341
539,924773,3618,3115
540,927818,2945,3116
541,930812,2894,3113
542,934084,3171,3167
543,937912,3728,3271
544,941292,3280,3203
545,945112,3720,3358
546,948643,3431,3466
547,951797,3054,3442
548,955005,3107,3318
549,958186,3081,3278
550,961369,3083,3151
551,964518,3048,3074
552,967691,3073,3078
553,971361,3570,3171
554,974454,2993,3153
555,977559,3005,3137
556,980662,3003,3128
557,983760,2997,3113
558,986875,3014,3002
559,990138,3163,3036
560,996494,6256,3686
561,1002213,5619,4209
562,1007927,5614,4733
563,1013348,5321,5194
564,1018801,5353,5632
565,1022564,3663,5114
566,1026535,3870,4764
567,1030386,3751,4391
568,1034301,3814,4090
569,1038072,3671,3753
570,1042050,3877,3796
571,1045895,3745,3771
572,1049954,3959,3813
573,1053823,3769,3804
574,1057697,3774,3824
575,1061558,3761,3801
576,1065389,3730,3798
577,1069171,3682,3743
578,1072962,3691,3727
579,1076763,3701,3713
580,1080570,3707,3702
581,1084382,3711,3698
582,1088151,3669,3695
583,1091868,3617,3681
584,1095586,3617,3664
585,1099300,3614,3645
586,1103038,3637,3630
587,1106753,3615,3620
588,1110518,3664,3629
589,1114238,3620,3630
590,1117936,3597,3626
591,1121658,3621,3623
592,1125531,3773,3655
593,1129275,3644,3651
594,1132980,3605,3648
595,1136710,3629,3654
596,1140431,3621,3654
597,1144156,3625,3624
598,1147922,3666,3629
599,1151645,3623,3632
